	Length	Tokens	Unique Tokens	Avg Token Length	Entities	Unique Entities	Avg Entity Length	Density	B-COM	I-COM	B-BRAND	I-BRAND	B-DEV	I-DEV	O
0	27	"['spots', 'were', 'developed', 'according', 'to', 'manufacturers', ""'"", 'instructions', 'using', 'an', '$UNK$', 'device', '(', '$UNK$', 'gmbh', ',', 'hannover', ',', 'germany', ')', 'and', 'software', '(', '$UNK$', 'gmbh', ')', '.']"	1	4.592592592592593	['$UNK$', '$UNK$', 'gmbh', '$UNK$', 'gmbh']	0	4.6	18.51851851851852	0	2	0	0	0	0	22
1	38	['the', 'inhibitory', 'capacity', 'of', '$UNK$', 'was', 'measured', 'as', 'reduction', 'rate', 'of', '$UNK$', 'comparing', 'the', 'condition', 'of', '$UNK$', 'cells', 'plus', 'allogeneic', '$UNK$', 'without', '$UNK$', ',', 'versus', 'the', 'condition', 'of', '$UNK$', 'cells', 'plus', 'allogeneic', '$UNK$', 'plus', '$UNK$', '$UNK$', 'cells', '.']	0	5.131578947368421	[]	0	-1.0	0.0	0	0	0	0	0	0	38
2	1	['.']	0	1.0	[]	0	-1.0	0.0	0	0	0	0	0	0	1
3	26	[',', 'poole', ',', 'uk', ')', 'and', 'as', 'a', 'commercial', 'formulation', 'known', 'as', '$UNK$', 'centenary', '(', '$NUM$', '%', ',', '$UNK$', 'ltd.', ',', 'dundee', ',', 'uk', ')', '.']	2	3.3461538461538463	['$UNK$', 'ltd.']	0	4.5	7.6923076923076925	0	1	0	0	0	0	24
4	28	['$UNK$', '$NUM$', '$UNK$', 'was', 'also', 'used', '(', '$UNK$', '$UNK$', 'kg', 'à', '$NUM$', ';', 'radiochemical', 'purity', '97.9', '%', ';', 'huntingdon', 'life', 'sciences', 'ltd.', ',', 'alconbury', ',', 'uk', ')', '.']	2	4.0	['huntingdon', 'life', 'sciences', 'ltd.']	0	6.5	14.285714285714285	1	3	0	0	0	0	24
5	20	['seeds', 'of', '$NUM$', 'cultivars', 'of', 'r.', 'communis', 'were', 'obtained', 'from', 'sandeman', 'seeds', '(', '$UNK$', ',', '$UNK$', ',', 'france', ')', '.']	2	4.15	['sandeman', 'seeds']	1	6.5	10.0	1	1	0	0	0	0	18
6	61	['seeds', 'were', 'obtained', 'from', 'various', 'countries', '(', 'as', 'indicated', ')', 'including', 'the', 'following', 'cultivars', ':', '$NUM$', ')', 'china', ':', '$UNK$', '$NUM$', ',', '$NUM$', ',', 'and', '$NUM$', '(', '$NUM$', 'is', 'hybrid', 'cross', 'between', '$UNK$', '$NUM$', 'and', 'a', 'south', 'american', 'plant', ')', ',', 'jiaxiang', ',', 'yunnan', 'castor', ',', 'kunming', 'tco', '$NUM$', ',', 'shangdong', '$NUM$', ',', 'shangdong', '$NUM$', ',', 'laizhou', '$UNK$', 'no.', '$NUM$', '.']	7	4.377049180327869	[]	0	-1.0	0.0	0	0	0	0	0	0	61
7	21	['$NUM$', ')', 'india', ':', 'black', 'diamond', '$NUM$', ',', 'black', 'diamond', '$NUM$', ',', 'dehradun', ',', 'common', 'field', '(', 'mixed', 'hybrid', ')', '.']	2	3.9047619047619047	[]	0	-1.0	0.0	0	0	0	0	0	0	21
8	6	['$NUM$', ')', 'pakistan', ':', 'noori', '.']	2	3.5	[]	0	-1.0	0.0	0	0	0	0	0	0	6
9	51	['$NUM$', ')', 'africa', ':', '$UNK$', '(', 'tanzania', ';', 'also', 'kenya', ')', ';', 'tanzanian', 'seeds', 'were', 'used', 'for', 'this', 'study', ',', 'carmencita', '(', 'tanzania', ')', ',', 'sanguineus', '(', 'tanzania', ';', 'also', 'spain', ')', ';', 'tanzanian', 'seeds', 'were', 'used', 'for', 'this', 'study', ',', 'impala', '(', 'tanzania', ')', ',', '$UNK$', '(', 'zimbabwe', ')', '.']	6	3.803921568627451	[]	0	-1.0	0.0	0	0	0	0	0	0	51
10	44	['the', 'fluorescence', 'intensity', 'was', 'determined', 'and', 'normalized', 'to', 'the', 'value', 'for', 'time', '=', '$NUM$', 'using', 'a', '$UNK$', 'saphir', 'ii', 'tm', '$UNK$', '(', '$UNK$', 'austria', 'gmbh', ',', '$UNK$', ',', 'austria', ')', 'with', 'excitation', 'and', 'emission', 'wavelengths', 'of', '$NUM$', 'nm', 'and', '$NUM$', 'nm', ',', 'respectively', '.']	3	4.545454545454546	['$UNK$', 'saphir', 'ii', 'tm', '$UNK$', '$UNK$', 'austria', 'gmbh']	1	4.5	18.181818181818183	0	2	0	3	0	0	36
11	39	['the', 'patients', 'at', 'the', 'first', 'center', 'provided', 'informed', 'consent', 'for', 'retrospective', 'evaluation', 'of', 'their', 'data', 'including', 'reporting', 'to', 'the', 'european', '$UNK$', '(', 'novartis', 'pharma', 'gmbh', ',', 'nuremberg', ',', 'germany', ')', 'outcomes', 'registry', 'and', 'experience', '(', '$UNK$', ')', 'database', '.']	2	5.282051282051282	['european', '$UNK$', 'novartis', 'pharma', 'gmbh']	1	6.2	12.82051282051282	1	2	1	0	0	0	34
12	30	['the', 'enrichment', 'of', 'b', 'cells', 'was', 'done', 'by', 'negative', 'selection', 'using', '$UNK$', 'beads', 'according', 'to', 'the', 'instructions', 'of', 'the', 'manufacturer', '(', '$UNK$', 'biotech', 'asa', ',', '$UNK$', ',', 'norway', ')', '.']	0	4.533333333333333	['$UNK$', 'beads', '$UNK$', 'biotech', 'asa']	0	5.0	16.666666666666664	0	2	0	0	0	1	25
13	22	['$UNK$', 'cells', 'were', 'removed', 'using', 'mouse', 'monoclonal', 'antibodies', 'against', 'human', 'cd2', ',', 'cd3', ',', '$UNK$', ',', 'cd14', ',', '$UNK$', 'and', '$UNK$', '.']	3	4.363636363636363	[]	0	-1.0	0.0	0	0	0	0	0	0	22
14	15	['all', 'other', 'materials', 'were', 'obtained', 'from', '$UNK$', 'chemie', 'gmbh', '(', 'buchs', ',', 'switzerland', ')', '.']	0	4.533333333333333	['$UNK$', 'chemie', 'gmbh']	0	5.0	20.0	0	2	0	0	0	0	12
15	74	['one', 'microlitre', '(', 'of', 'a', 'total', 'of', '$NUM$', 'll', ')', 'cdna', 'was', 'amplified', 'in', 'a', '$UNK$', 'reaction', 'volume', 'using', '$UNK$', 'units', 'platinum', 'taq', '(', 'invitrogen', 'life', 'technologies', 'ltd', ',', 'paisley', ',', 'uk', ')', ',', '$NUM$', 'mm', '$UNK$', '$NUM$', '(', 'invitrogen', ')', ',', '$UNK$', 'mm', '$UNK$', '(', '$UNK$', ',', 'london', ',', 'uk', ')', ',', '$UNK$', 'lm', 'unlabelled', 'constant', 'region', 'cb', 'primer', 'and', 'a', 'mixture', 'of', 'labelled', 'vb', 'primers', 'in', 'pcr', 'buffer', '(', 'invitrogen', ')', '.']	3	3.945945945945946	['platinum', 'taq', 'invitrogen', 'life', 'technologies', 'ltd', 'invitrogen', '$UNK$', 'invitrogen']	0	7.222222222222222	12.162162162162163	3	3	1	1	0	0	65
16	24	['the', 'contents', 'of', 'isoniazid', 'or', 'metronidazole', 'were', 'determined', 'in', 'respective', 'gels', 'using', '$UNK$', 'spectrophotometer', '(', 't', '$NUM$', 'pg', 'instrument', 'ltd.', ',', 'uk', ')', '.']	0	5.083333333333333	['$UNK$', 'spectrophotometer', 't', '$NUM$', 'pg', 'instrument', 'ltd.']	0	6.285714285714286	29.166666666666668	1	2	1	0	0	1	17
17	25	['for', 'isoniazid', ',', 'absorbance', 'of', 'the', 'filtered', 'sample', 'was', 'measured', 'at', '$NUM$', 'nm', ',', 'whereas', 'the', 'absorbance', 'of', 'metronidazole', 'was', 'measured', 'at', '$NUM$', 'nm', '.']	0	4.76	[]	0	-1.0	0.0	0	0	0	0	0	0	25
18	47	['patients', 'in', 'the', 'at', 'group', 'received', 'the', 'abovementioned', 'massage', 'with', 'two', 'drops', 'of', '$UNK$', 'essential', 'oil', '(', 'eucalyptus', '$UNK$', ':', '$UNK$', 'international', 's.a.', ',', '$UNK$', ',', 'belgium', ')', 'in', '$NUM$', 'ml', 'of', '$UNK$', 'oil', '(', 'vitis', 'vinifera', ':', '$UNK$', 'international', 's.a.', ')', 'as', 'the', 'base', 'lubricant', '.']	7	4.531914893617022	['$UNK$', 'international', 's.a.', '$UNK$', 'international', 's.a.']	0	7.333333333333333	12.76595744680851	0	4	0	0	0	0	41
19	46	['isolates', 'exhibiting', 'inhibition', 'zones', '$NUM$', 'mm', 'with', 'a', '$UNK$', '$UNK$', 'disk', 'were', 'further', 'tested', 'by', '$UNK$', '(', 'pdm', '$UNK$', ',', 'ab', '$UNK$', ',', 'solna', ',', 'sweden', ')', 'for', 'penicillin', '$NUM$', 'isolates', 'with', 'a', 'penicillin', 'minimal', 'inhibitory', 'concentration', '(', 'mic', ')', '1.0', 'g/ml', 'were', 'analyzed', 'separately', '.']	4	4.782608695652174	['$UNK$', 'pdm', '$UNK$', 'ab', '$UNK$']	1	4.0	10.869565217391305	1	0	1	0	0	0	41
20	23	['data', 'were', 'analyzed', 'by', 'descriptive', 'statistics', 'using', 'the', '$UNK$', '$UNK$', 'statistical', 'software', 'package', '(', '$UNK$', 'software', '$UNK$', ',', '$UNK$', ',', 'belgium', ')', '.']	0	5.130434782608695	['$UNK$', '$UNK$', '$UNK$', 'software', '$UNK$']	0	5.6	21.73913043478261	0	1	0	0	0	0	18
21	34	"['$UNK$', 'separation', '(', 'ims', ')', 'for', 'the', 'isolation', 'of', 'salmonella', 'spp.', 'was', 'carried', 'out', 'using', '$UNK$', '$UNK$', 'beads', 'according', 'to', 'the', 'manufacturer', ""'s"", 'instructions', '(', '$UNK$', 'biotech', 'asa', ',', 'oslo', ',', 'norway', ')', '.']"	1	4.529411764705882	['$UNK$', '$UNK$', 'beads', '$UNK$', 'biotech', 'asa']	0	5.0	17.647058823529413	0	2	0	0	0	1	28
22	31	['following', 'ims', ',', 'the', 'resultant', 'bead', 'complex', 'was', 'incubated', 'in', '$UNK$', 'broth', '(', 'rvs', ')', 'broth', '(', '$NUM$', 'ml', ')', '(', 'fort', 'richards', ')', 'at', '$NUM$', '$UNK$', 'for', '$NUM$', 'h', '.']	3	3.7096774193548385	[]	0	-1.0	0.0	0	0	0	0	0	0	31
23	18	['the', 'restriction', 'protease', 'factor', 'xa', 'was', 'obtained', 'from', 'protein', 'engineering', 'technology', 'aps', '(', 'aarhus', ',', 'denmark', ')', '.']	0	5.166666666666667	['protein', 'engineering', 'technology', 'aps']	0	7.75	22.22222222222222	1	3	0	0	0	0	14
24	11	['ans', 'were', 'obtained', 'from', '$UNK$', '(', 'oslo', ',', 'norway', ')', '.']	0	3.4545454545454546	['$UNK$']	0	5.0	9.090909090909092	0	0	0	0	0	0	10
25	31	['a', '$UNK$', '$UNK$', 'gas', 'chromatograph', '(', 'model', '$UNK$', 'series', '$NUM$', 'btx', ',', '$UNK$', 'b.v.', ',', 'groningen', ',', 'the', 'netherlands', ')', 'was', 'used', 'to', 'measure', 'ambient', 'concentrations', 'of', 'benzene', 'and', 'toluene', '.']	4	4.67741935483871	['$UNK$', '$UNK$', 'gas', 'chromatograph', '$UNK$', 'series', '$NUM$', 'btx', '$UNK$', 'b.v.']	2	5.4	32.25806451612903	0	1	0	2	1	1	21
26	24	['cho', 'cell', 'lines', 'expressing', '$UNK$', 'or', 'both', '$UNK$', 'and', 'g', '$NUM$', 'were', 'kindly', 'provided', 'by', 'vincent', '$UNK$', '(', '$UNK$', 'sa', ',', 'belgium', ')', '.']	1	4.041666666666667	['$UNK$', 'sa']	0	3.5	8.333333333333332	0	1	0	0	0	0	22
27	20	['$UNK$', '$NUM$', 'and', '$UNK$', '$NUM$', 'receptors', 'coding', 'region', ',', 'inserted', 'into', 'mammalian', 'expression', 'vector', '$UNK$', '.1', '(', 'invitrogen', 'corp.', '.']	1	5.3	['invitrogen', 'corp.']	0	7.5	10.0	1	1	0	0	0	0	18
28	63	['for', '$UNK$', 'analysis', ',', '$UNK$', 'antibody', '(', 'santa', 'cruz', 'biotechnology', ',', 'heidelberg', ',', 'germany', ')', '(', '$UNK$', ')', 'was', 'visualized', 'with', 'horseradish', '$UNK$', 'goat', '$UNK$', 'igg', '(', '$UNK$', ',', 'dako', 'österreich', 'gmbh', ',', 'vienna', ',', 'austria', ')', 'using', 'the', 'enhanced', 'chemiluminescence', '(', 'ecl', ')', 'western', 'blotting', 'detection', 'system', 'kit', '(', 'amersham', 'biosciences', ',', 'ge', 'healthcare', 'europe', 'gmbh', ',', 'vienna', ',', 'austria', ')', '.']	4	4.714285714285714	['santa', 'cruz', 'biotechnology', 'dako', 'österreich', 'gmbh', 'western', 'blotting', 'detection', 'system', 'kit', 'amersham', 'biosciences', 'ge', 'healthcare', 'europe', 'gmbh']	2	6.705882352941177	26.984126984126984	4	8	0	0	1	4	46
